Year,TotalTDFDistance,Stage
1990,3504,Stage 18 : Pau > Bordeaux
1990,3504,Stage 11 : Saint-Gervais > L'Alpe-d'Huez
1990,3504,Stage 16 : Blagnac > Luz-Ardiden
1990,3504,Stage 15 : Millau > Revel
1990,3504,Stage 14 : Le Puy en Velay > Millau
1990,3504,Stage 13 : Villard-de-Lans > Saint-Etienne
1990,3504,Stage 17 : Lourdes > Pau
1991,3914,Prologue : Lyon > Lyon
1991,3914,Stage 1 : Lyon > Lyon
1991,3914,Stage 2 : Bron > Chassieu
1991,3914,Stage 3 : Villeurbanne > Dijon
1991,3914,Stage 4 : Dijon > Reims
1991,3914,Stage 5 : Reims > Valenciennes
1991,3914,Stage 6 : Arras Citadelle > Le Havre
1991,3914,Stage 7 : Le Havre > Argentan
1991,3914,Stage 9 : Alençon > Rennes
1991,3914,Stage 10 : Rennes > Quimper
1991,3914,Stage 8 : Argentan > Alençon
1991,3914,Stage 12 : Pau > Jaca
1991,3914,Stage 21 : Lugny > Macon
1991,3914,Stage 20 : Aix-les-Bains > Macon
1991,3914,Stage 19 : Morzine > Aix-les-Bains
1991,3914,Stage 18 : Bourg-d'Oisans > Morzine
1991,3914,Stage 22 : Melun > Paris
1991,3914,Stage 16 : Alès > Gap
1991,3914,Stage 15 : Albi > Alès
1991,3914,Stage 14 : Saint Gaudens > Castres
1991,3914,Stage 13 : Jaca > Val Louron
1991,3914,Stage 17 : Gap > L'Alpe-d'Huez
1991,3914,Stage 11 : Quimper > Saint-Herblain
1992,3983,Stage 9 : Luxembourg > Luxembourg
1992,3983,Prologue : Saint-Sébastien > Saint-Sébastien
1992,3983,Stage 1 : Saint-Sébastien > Saint-Sébastien
1992,3983,Stage 2 : Saint-Sébastien > Pau
1992,3983,Stage 3 : Pau > Bordeaux
1992,3983,Stage 4 : Libourne > Libourne
1992,3983,Stage 5 : Nogent-sur-Oise > Wasquehal
1992,3983,Stage 6 : Roubaix > Bruxelles
1992,3983,Stage 7 : Bruxelles > Valkenburg
1992,3983,Stage 8 : Valkenburg > Coblence
1992,3983,Stage 11 : Strasbourg > Mulhouse
1992,3983,Stage 12 : Dôle > Saint-Gervais
1992,3983,Stage 21 : La Défense > Paris
