Year,TotalTDFDistance,Stage
2009,3460,Stage 10 : Limoges > Issoudun
2009,3460,Stage 11 : Vatan > Saint-Fargeau
2009,3460,Stage 12 : Tonnerre > Vittel
2009,3460,Stage 20 : Montélimar > Mont Ventoux
2009,3460,Stage 19 : Bourgoin-Jallieu > Aubenas
2009,3460,Stage 18 : Annecy > Annecy
2009,3460,Stage 17 : Bourg Saint Maurice > le_grand_bornand
2009,3460,Stage 21 : Montereau-Fault-Yonne > Paris Champs-Élysées
2009,3460,Stage 15 : Pontarlier > Verbier
2009,3460,Stage 14 : Colmar > Besançon
2009,3460,Stage 13 : Vittel > Colmar
